,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
780,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.54,36,0.114199997,1.46,0.991836429,0,17,38,45,1662,25898,3.794500113,59.5,18.7,0.268437412
781,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.56,34.5,0.158699996,1.38,0.991836429,0,15,37,46,1662,25898,3.794500113,59.5,18.7,0.079263012
782,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.64,40,0.166749996,1.34,0.991836429,0,13.5,43.5,43,1662,25898,3.794500113,59.5,18.7,0.201870536
783,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.34,38,0.145699997,1.29,0.991836429,0,12,44,44,1662,25898,3.794500113,59.5,18.7,0.195211089
784,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.94,37,0.252999994,1.42,0.991836429,0,15,41,44,1662,25898,3.794500113,59.5,18.7,0.215966024
785,30-60,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.96,33,0.137799997,1.33,0.991836429,0,19,36,45,1662,25898,3.794500113,59.5,18.7,0.240421719
786,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.52,36,0.114199997,1.46,0.991836429,0,17,38,45,1662,25898,3.794500113,59.5,18.7,0.199514592
787,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.34,34.5,0.158699996,1.38,0.991836429,0,15,37,46,1662,25898,3.794500113,59.5,18.7,0.293590098
788,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.38,40,0.166749996,1.34,0.991836429,0,13.5,43.5,43,1662,25898,3.794500113,59.5,18.7,0.19360236
789,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.87,38,0.145699997,1.29,0.991836429,0,12,44,44,1662,25898,3.794500113,59.5,18.7,0.234408702
790,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.91,37,0.252999994,1.42,0.991836429,0,15,41,44,1662,25898,3.794500113,59.5,18.7,0.215726189
791,30-60,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.94,33,0.137799997,1.33,0.991836429,0,19,36,45,1662,25898,3.794500113,59.5,18.7,0.166315225
792,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.9,36,0.114199997,1.46,0.991836429,0,17,38,45,1662,25898,3.794500113,59.5,18.7,0.281357324
793,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.86,34.5,0.158699996,1.38,0.991836429,0,15,37,46,1662,25898,3.794500113,59.5,18.7,0.234290255
794,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,5.07,40,0.166749996,1.34,0.991836429,0,13.5,43.5,43,1662,25898,3.794500113,59.5,18.7,0.143434404
795,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.7,38,0.145699997,1.29,0.991836429,0,12,44,44,1662,25898,3.794500113,59.5,18.7,0.323619337
796,0-30,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.48,37,0.252999994,1.42,0.991836429,0,15,41,44,1662,25898,3.794500113,59.5,18.7,0.284934894
797,30-60,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.45,33,0.137799997,1.33,0.991836429,0,19,36,45,1662,25898,3.794500113,59.5,18.7,0.289891432
798,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.73,36,0.114199997,1.46,0.991836429,0,17,38,45,1662,25898,3.794500113,59.5,18.7,0.351976572
799,60-100,0.6732,654,-0.5,105.6695633,1535.406128,54.90000153,25.70000076,-29.20000076,12.85000038,153,4,373.25,4.19830513,4.7,34.5,0.158699996,1.38,0.991836429,0,15,37,46,1662,25898,3.794500113,59.5,18.7,0.252748989
