Paper.ID,Reference,Continent,Longitude,Latitude,MAP,MAT,Climatezone,Soil_Depth,depth_min,depth_max,depth_mid,depth_class,EEA_CN,EEA_CP,L_CN,L_CP,B_CN,B_CP,S_CN,S_CP,CUE
19,Zuo et al. 2018,Asia,83.84577778,44.96233333,124,9.1,5,60_100cm,60,100,80,60-100,0.243470781,0.063568867,50.62796877,14.71880413,13.39244663,52.61935484,1.086482089,56.23782592,0.494336713
19,Zuo et al. 2018,Asia,83.73418333,44.81097222,121,8.9,5,0_10cm,0,10,5,0-30,0.229535373,0.130045185,30.86229528,10.42259152,3.724612737,10.95696203,0.525779051,8.083885691,0.416863716
19,Zuo et al. 2018,Asia,83.73418333,44.81097222,121,8.9,5,10_20cm,10,20,15,0-30,0.123600244,0.087693637,33.60512577,10.12025859,4.152617569,16.86486486,0.999763058,19.0030439,0.483558313
19,Zuo et al. 2018,Asia,83.73418333,44.81097222,121,8.9,5,20_40cm,20,40,30,30-60,0.105669782,0.094526809,37.1211799,13.09768185,3.585714286,18.25454545,0.914119763,14.74421282,0.474425471
19,Zuo et al. 2018,Asia,83.73418333,44.81097222,121,8.9,5,40_60cm,40,60,50,30-60,0.127263479,0.08710486,35.90988423,11.59310391,4.060150376,21.6,0.888432264,21.3900419,0.474442498
19,Zuo et al. 2018,Asia,83.73418333,44.81097222,121,8.9,5,60_100cm,60,100,80,60-100,0.114605883,0.092118731,42.05140733,15.10814592,3.461121157,20.25396825,0.718173466,14.55294903,0.452976914
19,Zuo et al. 2018,Asia,84.22991667,44.83925,127,9.2,5,0_10cm,0,10,5,0-30,0.466993113,0.237261535,25.28992974,11.91500421,10.38488784,19.56840934,0.879313442,6.922038143,0.462644097
19,Zuo et al. 2018,Asia,84.22991667,44.83925,127,9.2,5,10_20cm,10,20,15,0-30,0.491495897,0.244133487,36.88955128,12.35513687,15.48688047,13.18114144,0.854162847,4.36996648,0.45140068
19,Zuo et al. 2018,Asia,84.22991667,44.83925,127,9.2,5,20_40cm,20,40,30,30-60,0.416073611,0.21957789,52.76735826,12.96035873,6.868274583,10.16334935,0.312832687,3.571340205,0.348621083
19,Zuo et al. 2018,Asia,84.22991667,44.83925,127,9.2,5,40_60cm,40,60,50,30-60,0.437971953,0.264322917,55.15186036,12.9664676,4.800865801,15.33179724,0.198752729,4.473388017,0.303485646
19,Zuo et al. 2018,Asia,84.22991667,44.83925,127,9.2,5,60_100cm,60,100,80,60-100,0.41022746,0.206378321,52.21738262,12.15072877,4.030395137,11.79977753,0.188151549,4.705517774,0.298287357
